class,gyroX,gyroY,gyroZ,accX,accY,accZ
1,-0.9236641,3.6946565,0.8244275,0.1625977,-0.0866699,-0.9694824
1,-0.9083969,4.5343511,0.8320611,0.1757812,-0.1005859,-1.0131836
1,0.7862595,3.9694656,0.5877863,0.3227539,-0.1403809,-0.9116211
1,0.3358779,4.5648855,-0.2519084,0.4802246,-0.2268066,-0.9367676
1,3.351145,2.6946565,-0.1068702,0.4260254,-0.2539062,-0.9501953
1,-1.5038168,3.1832061,-1.6564885,0.3837891,-0.1416016,-0.9196777
1,1.3587786,8.7251908,-0.9465649,0.4047852,-0.2573242,-0.8625488
1,-1.0839695,4.1068702,-0.6259542,0.3469238,-0.1062012,-0.9699707
1,0.0534351,5.0839695,-2.221374,0.2766113,-0.2575684,-1.0083008
1,-1.1068702,3.6564885,0.778626,0.1589355,-0.1115723,-0.9714355
1,-0.9923664,3.3053435,0.6946565,0.1772461,-0.1003418,-1.0021973
1,-0.8396947,3.7251908,0.740458,0.1811523,-0.095459,-0.9802246
1,-0.129771,4.0839695,0.8778626,0.3063965,-0.1606445,-0.9467773
1,-1.3587786,5.5648855,0.1984733,0.512207,-0.1865234,-0.9777832
1,1.2824427,0.4045802,1.1984733,0.5773926,-0.2973633,-0.8608398
1,-0.2366412,0.7328244,1.4503817,0.347168,-0.0725098,-1.0522461
1,-0.8473282,2.0305344,0.6946565,0.4904785,-0.1096191,-0.9660645
1,1.7709924,8.5267176,1.9465649,0.4553223,-0.2531738,-0.8513184
1,-0.610687,4.4503817,0.8167939,0.157959,-0.0654297,-1.0163574
1,-0.7480916,4.3740458,0.8091603,0.1557617,-0.0822754,-0.9875488
1,-0.5877863,5.3664122,1.8778626,0.3564453,-0.1860352,-1.0534668
1,-0.389313,2.5267176,0.3816794,0.5168457,-0.1833496,-0.8083496
1,1.3206107,9.2137405,1.8320611,0.6435547,-0.2158203,-1.0695801
1,-3.7099237,5.7938931,-1.4198473,0.3046875,-0.197998,-1.0332031
1,-5.6946565,4.778626,-0.0152672,0.4650879,-0.1669922,-0.8388672
1,1.9160305,4.3740458,-0.5267176,0.2575684,-0.1325684,-0.9482422
1,2.6183206,8.2290076,-1.3129771,0.0791016,-0.0053711,-0.8703613
1,-0.5954198,4.2824427,0.8625954,0.1821289,-0.104248,-0.9865723
1,-0.7557252,4.5038168,0.9541985,0.2224121,-0.0871582,-0.9902344
1,0.4961832,8.7175573,1.0305344,0.5126953,-0.1945801,-0.8259277
1,-0.0687023,2.870229,1.9312977,0.4562988,-0.1791992,-0.9375
1,-2.4885496,6.648855,1.0458015,0.5563965,-0.1875,-0.9816895
1,-0.2290076,6.6793893,-0.7557252,0.3806152,-0.2434082,-1.0031738
1,-0.5725191,4.9083969,0.9160305,0.4550781,-0.2421875,-0.9648438
1,1.5801527,0.648855,-2.4656489,0.291748,-0.3752441,-1.1245117
1,1.0534351,7.0916031,1.0610687,0.2424316,0.0805664,-0.8100586
1,-0.4045802,4.0687023,0.9770992,0.1586914,-0.0878906,-1.0209961
1,-0.4045802,4.2290076,0.9007634,0.1564941,-0.0881348,-0.9853516
1,2.5038168,4.4961832,1.4732824,0.3937988,-0.1350098,-0.9421387
1,-3.3358779,4.2900763,0.9847328,0.4921875,-0.0700684,-0.824707
1,-3.1908397,3.4656489,-1.3587786,0.489502,-0.2744141,-1.0214844
1,-4.9465649,10.6564885,-0.2824427,0.3811035,-0.0471191,-1.1262207
1,-4.4732824,9.5038168,0.5114504,0.517334,-0.2453613,-0.7780762
